Species,PriceCateg,Weight,Length
Akysis vespertinus,NA,NA,3.43
Alabes bathys,NA,NA,3.9
Alabes brevis,unknown,NA,2.3
Alabes dorsalis,unknown,NA,12
Alabes elongata,unknown,NA,9.2
Alabes gibbosa,unknown,NA,9.1
Alabes hoesei,unknown,NA,4.5
Alabes obtusirostris,unknown,NA,4.6
Alabes occidentalis,unknown,NA,4
Alabes parvula,unknown,NA,5
Alabes scotti,unknown,NA,4.8
Alabes springeri,NA,NA,3.1
Albatrossia pectoralis,medium,86000,210
Albula argentea,unknown,NA,70
Albula esuncula,NA,NA,32
Albula gilberti,NA,NA,25.7
Albula glossodonta,unknown,8610,90
Albula goreensis,NA,NA,NA
Albula koreana,NA,NA,35.01
Albula nemoptera,unknown,NA,51
Albula oligolepis,NA,NA,35.4
Albula pacifica,NA,NA,NA
Albula virgata,NA,NA,32.2
Albula vulpes,high,10000,104
Albulichthys albuloides,unknown,NA,30
Alburnoides bipunctatus,unknown,30,18.5
Alburnoides coadi,NA,NA,10.79
Alburnoides devolli,NA,NA,9.52
Alburnoides economoui,NA,NA,8.74
Alburnoides eichwaldii,NA,NA,11.3
Alburnoides emineae,NA,NA,7.6
Alburnoides fangfangae,NA,NA,7.25
Alburnoides fasciatus,NA,32,13.8
Alburnoides freyhofi,NA,NA,9.3
Alburnoides gmelini,NA,NA,8.31
Alburnoides holciki,NA,NA,10.18
Alburnoides idignensis,NA,NA,9
Alburnoides kosswigi,NA,NA,9.7
Alburnoides kubanicus,NA,NA,NA
Alburnoides kurui,NA,NA,9
Alburnoides maculatus,NA,NA,7.3
Alburnoides manyasensis,NA,NA,9.2
Alburnoides namaki,NA,NA,9.69
Alburnoides nicolausi,NA,NA,7.5
Alburnoides oblongus,unknown,NA,14.2
Alburnoides ohridanus,NA,NA,9
Alburnoides parhami,NA,NA,6.65
Alburnoides petrubanarescui,NA,NA,8.88
Alburnoides prespensis,NA,5.4,13.1
Alburnoides qanati,NA,NA,7.2
Alburnoides recepi,NA,NA,7.6
Alburnoides rossicus,NA,NA,NA
Alburnoides samiii,NA,NA,8.15
Alburnoides strymonicus,NA,NA,8.27
Alburnoides tabarestanensis,NA,NA,8.3
Alburnoides taeniatus,unknown,NA,9
Alburnoides thessalicus,NA,NA,8.14
Alburnoides varentsovi,NA,NA,9.12
Alburnoides velioglui,NA,NA,8.8
Alburnus adanensis,NA,NA,22
Alburnus akili,unknown,NA,1.47
Alburnus albidus,unknown,NA,11
Alburnus alburnus,unknown,60,25
Alburnus amirkabiri,NA,NA,11.32
Alburnus arborella,unknown,NA,12.7
Alburnus atropatenae,unknown,NA,13.91
Alburnus attalus,NA,NA,9.96
Alburnus baliki,unknown,NA,6.05
Alburnus battalgilae,NA,NA,10.75
Alburnus belvica,unknown,NA,13.6
Alburnus caeruleus,unknown,NA,9.21
Alburnus carinatus,NA,NA,18.1
Alburnus chalcoides,unknown,NA,40
Alburnus danubicus,NA,NA,20
Alburnus demiri,NA,NA,9.41
Alburnus derjugini,NA,NA,10.75
Alburnus doriae,unknown,NA,NA
Alburnus escherichii,unknown,NA,10.22
Alburnus filippii,unknown,NA,16
Alburnus heckeli,unknown,NA,11.92
Alburnus hohenackeri,unknown,NA,15
Alburnus istanbulensis,NA,NA,18
Alburnus kotschyi,NA,NA,NA
Alburnus leobergi,NA,NA,40.3
